year,area,concept,artworks,metric,value
2000,AUT,math_score,no,mean,508.291578817801
2000,AUT,math_score,no,mean_se,18.092268740658
2000,AUT,math_score,yes,mean,518.349525158099
2000,AUT,math_score,yes,mean_se,7.43744704997143
2000,AUT,reading_score,no,mean,499.306346679562
2000,AUT,reading_score,no,mean_se,3.84245792153448
2000,AUT,reading_score,yes,mean,512.298496511889
2000,AUT,reading_score,yes,mean_se,2.47424240241335
2000,BEL,math_score,no,mean,498.198164751944
2000,BEL,math_score,no,mean_se,56.5544402211116
2000,BEL,math_score,yes,mean,534.130971257829
2000,BEL,math_score,yes,mean_se,15.9752707892595
2000,BEL,reading_score,no,mean,484.319647545355
2000,BEL,reading_score,no,mean_se,5.01019013035351
2000,BEL,reading_score,yes,mean,530.6168362496
2000,BEL,reading_score,yes,mean_se,2.9677635690463
2000,BGR,math_score,no,mean,411.145293209918
2000,BGR,math_score,no,mean_se,46.2497125963312
2000,BGR,math_score,yes,mean,443.804033396433
2000,BGR,math_score,yes,mean_se,35.9890738644363
2000,BGR,reading_score,no,mean,410.578736867339
2000,BGR,reading_score,no,mean_se,5.8429468789361
2000,BGR,reading_score,yes,mean,443.761204884861
2000,BGR,reading_score,yes,mean_se,4.90017215745096
2000,CZE,math_score,no,mean,482.575270830321
2000,CZE,math_score,no,mean_se,12.8490619738704
2000,CZE,math_score,yes,mean,503.585005684935
2000,CZE,math_score,yes,mean_se,10.4645886262651
2000,CZE,reading_score,no,mean,477.33899502733
2000,CZE,reading_score,no,mean_se,3.12845505815056
2000,CZE,reading_score,yes,mean,504.109395519016
2000,CZE,reading_score,yes,mean_se,2.65376188792962
2000,DEU,math_score,no,mean,471.270427938424
2000,DEU,math_score,no,mean_se,37.2974064692511
2000,DEU,math_score,yes,mean,493.302138665323
2000,DEU,math_score,yes,mean_se,16.3519709776893
2000,DEU,reading_score,no,mean,465.746877042324
2000,DEU,reading_score,no,mean_se,4.55519359737364
2000,DEU,reading_score,yes,mean,495.144587694355
2000,DEU,reading_score,yes,mean_se,4.01153963064202
2000,DNK,math_score,no,mean,492.622545925695
2000,DNK,math_score,no,mean_se,15.6275700126601
2000,DNK,math_score,yes,mean,525.041636120252
2000,DNK,math_score,yes,mean_se,7.29848902438107
2000,DNK,reading_score,no,mean,470.676807561818
2000,DNK,reading_score,no,mean_se,3.48313264320272
2000,DNK,reading_score,yes,mean,509.099898039265
2000,DNK,reading_score,yes,mean_se,2.45812468649592
2000,ESP,math_score,no,mean,464.361307703936
2000,ESP,math_score,no,mean_se,14.5112609380436
2000,ESP,math_score,yes,mean,488.821589265965
2000,ESP,math_score,yes,mean_se,10.2630742008177
2000,ESP,reading_score,no,mean,480.66335702761
2000,ESP,reading_score,no,mean_se,3.3106466062267
2000,ESP,reading_score,yes,mean,505.160760933281
2000,ESP,reading_score,yes,mean_se,2.56797495894727
2000,FIN,math_score,no,mean,520.303259934907
2000,FIN,math_score,no,mean_se,19.1348340893389
2000,FIN,math_score,yes,mean,539.909247522958
2000,FIN,math_score,yes,mean_se,5.38089949937783
2000,FIN,reading_score,no,mean,521.946386733492
2000,FIN,reading_score,no,mean_se,4.23175289421949
2000,FIN,reading_score,yes,mean,553.662989192366
2000,FIN,reading_score,yes,mean_se,2.56915420754133
2000,FRA,math_score,no,mean,510.278982328918
2000,FRA,math_score,no,mean_se,9.63188380806693
2000,FRA,math_score,yes,mean,533.565201279873
2000,FRA,math_score,yes,mean_se,14.2688010321271
2000,FRA,reading_score,no,mean,496.5075985246
2000,FRA,reading_score,no,mean_se,3.25316540153881
2000,FRA,reading_score,yes,mean,523.760682436614
2000,FRA,reading_score,yes,mean_se,3.14619074133195
2000,GBR,math_score,no,mean,512.309170924971
2000,GBR,math_score,no,mean_se,10.6748455264421
2000,GBR,math_score,yes,mean,545.058575952264
2000,GBR,math_score,yes,mean_se,11.3897536596722
2000,GBR,reading_score,no,mean,503.072731425174
2000,GBR,reading_score,no,mean_se,2.95739461613528
2000,GBR,reading_score,yes,mean,541.306891990596
2000,GBR,reading_score,yes,mean_se,3.24183309457045
2000,GRC,math_score,no,mean,436.022645725697
2000,GRC,math_score,no,mean_se,31.2453783470918
2000,GRC,math_score,yes,mean,455.72055963872
2000,GRC,math_score,yes,mean_se,39.8399505025151
2000,GRC,reading_score,no,mean,462.006198414106
2000,GRC,reading_score,no,mean_se,5.64979392301804
2000,GRC,reading_score,yes,mean,483.59359418929
2000,GRC,reading_score,yes,mean_se,4.90334347179483
2000,HUN,math_score,no,mean,469.613444784742
2000,HUN,math_score,no,mean_se,17.0944837348166
2000,HUN,math_score,yes,mean,499.257463217093
2000,HUN,math_score,yes,mean_se,23.5560321311677
2000,HUN,reading_score,no,mean,463.201231384775
2000,HUN,reading_score,no,mean_se,3.95138580376452
2000,HUN,reading_score,yes,mean,496.379210665349
2000,HUN,reading_score,yes,mean_se,4.57245455224235
2000,IRL,math_score,no,mean,491.703068473297
2000,IRL,math_score,no,mean_se,14.1700575617022
2000,IRL,math_score,yes,mean,513.254832941241
2000,IRL,math_score,yes,mean_se,8.33946520553468
2000,IRL,reading_score,no,mean,515.188224978369
2000,IRL,reading_score,no,mean_se,3.69199788708711
2000,IRL,reading_score,yes,mean,535.865970399232
2000,IRL,reading_score,yes,mean_se,3.59922393355281
2000,ITA,math_score,no,mean,444.928480790202
2000,ITA,math_score,no,mean_se,14.2583495270524
2000,ITA,math_score,yes,mean,463.36885379408
2000,ITA,math_score,yes,mean_se,8.65948675016165
2000,ITA,reading_score,no,mean,466.892135742185
2000,ITA,reading_score,no,mean_se,3.94424210500031
2000,ITA,reading_score,yes,mean,497.371514553064
2000,ITA,reading_score,yes,mean_se,2.69704104981183
2000,LUX,math_score,no,mean,423.388074958078
2000,LUX,math_score,no,mean_se,15.2790738922251
2000,LUX,math_score,yes,mean,464.978623739773
2000,LUX,math_score,yes,mean_se,5.55138566683137
2000,LUX,reading_score,no,mean,405.585224790266
2000,LUX,reading_score,no,mean_se,3.40774657832377
2000,LUX,reading_score,yes,mean,465.976723386851
2000,LUX,reading_score,yes,mean_se,1.9739447964814
2000,LVA,math_score,no,mean,457.815206757903
2000,LVA,math_score,no,mean_se,27.6328097085363
2000,LVA,math_score,yes,mean,466.51939061431
2000,LVA,math_score,yes,mean_se,26.4979404657921
2000,LVA,reading_score,no,mean,441.284061267291
2000,LVA,reading_score,no,mean_se,5.96626334147328
2000,LVA,reading_score,yes,mean,469.657321267959
2000,LVA,reading_score,yes,mean_se,5.56476816662584
2000,NLD,math_score,no,mean,550.837193712589
2000,NLD,math_score,no,mean_se,29.945185170431
2000,NLD,math_score,yes,mean,571.27563976121
2000,NLD,math_score,yes,mean_se,12.4733264385396
2000,NLD,reading_score,no,mean,515.583011405403
2000,NLD,reading_score,no,mean_se,4.53824402876329
2000,NLD,reading_score,yes,mean,541.692706847974
2000,NLD,reading_score,yes,mean_se,3.2487013494595
2000,POL,math_score,no,mean,466.907890996558
2000,POL,math_score,no,mean_se,35.6328852425133
2000,POL,math_score,yes,mean,479.836204263133
2000,POL,math_score,yes,mean_se,37.0620345891518
2000,POL,reading_score,no,mean,477.571176294547
2000,POL,reading_score,no,mean_se,4.47953893892949
2000,POL,reading_score,yes,mean,487.653756570642
2000,POL,reading_score,yes,mean_se,5.28256420019187
2000,PRT,math_score,no,mean,442.32446784384
2000,PRT,math_score,no,mean_se,19.2200028886489
2000,PRT,math_score,yes,mean,472.873475931954
2000,PRT,math_score,yes,mean_se,16.2551020530425
2000,PRT,reading_score,no,mean,456.297696002803
2000,PRT,reading_score,no,mean_se,4.45191160952294
2000,PRT,reading_score,yes,mean,493.624156745118
2000,PRT,reading_score,yes,mean_se,4.9507745070035
2000,SWE,math_score,no,mean,474.842156452363
2000,SWE,math_score,no,mean_se,24.638602603723
2000,SWE,math_score,yes,mean,519.076705187703
2000,SWE,math_score,yes,mean_se,6.10407836333449
2000,SWE,reading_score,no,mean,480.597350327978
2000,SWE,reading_score,no,mean_se,3.73630873624618
2000,SWE,reading_score,yes,mean,526.086698213066
2000,SWE,reading_score,yes,mean_se,2.26472038866611
2000,EU28,math_score,no,mean,483.947201366827
2000,EU28,math_score,no,mean_se,2.38472922065621
2000,EU28,math_score,yes,mean,502.386267828788
2000,EU28,math_score,yes,mean_se,1.70455571797578
2000,EU28,reading_score,no,mean,482.707008507307
2000,EU28,reading_score,no,mean_se,1.29290763842561
2000,EU28,reading_score,yes,mean,508.375513207395
2000,EU28,reading_score,yes,mean_se,1.17666464508462
2003,AUT,math_score,no,mean,489.093320731811
2003,AUT,math_score,no,mean_se,11.9762712965217
2003,AUT,math_score,yes,mean,525.384831075861
2003,AUT,math_score,yes,mean_se,11.9383499666961
2003,AUT,reading_score,no,mean,469.323048098434
2003,AUT,reading_score,no,mean_se,3.74907713890024
2003,AUT,reading_score,yes,mean,516.874314593441
2003,AUT,reading_score,yes,mean_se,3.63691673832407
2003,BEL,math_score,no,mean,509.88567552015
2003,BEL,math_score,no,mean_se,9.1565277218833
2003,BEL,math_score,yes,mean,563.400723417275
2003,BEL,math_score,yes,mean_se,5.35347829716669
2003,BEL,reading_score,no,mean,485.291262617295
2003,BEL,reading_score,no,mean_se,3.61231339057766
2003,BEL,reading_score,yes,mean,544.129877886543
2003,BEL,reading_score,yes,mean_se,2.21291245725193
2003,CZE,math_score,no,mean,510.963761637612
2003,CZE,math_score,no,mean_se,11.8457218109622
2003,CZE,math_score,yes,mean,535.583877080413
2003,CZE,math_score,yes,mean_se,9.6454834205469
2003,CZE,reading_score,no,mean,483.732403892529
2003,CZE,reading_score,no,mean_se,3.06369496216471
2003,CZE,reading_score,yes,mean,509.401189310121
2003,CZE,reading_score,yes,mean_se,2.88307791157227
2003,DEU,math_score,no,mean,498.100975599302
2003,DEU,math_score,no,mean_se,14.4660885020199
2003,DEU,math_score,yes,mean,523.23523270586
2003,DEU,math_score,yes,mean_se,13.4767771293274
2003,DEU,reading_score,no,mean,485.468816452666
2003,DEU,reading_score,no,mean_se,3.93965264686115
2003,DEU,reading_score,yes,mean,515.683330400081
2003,DEU,reading_score,yes,mean_se,3.82606071148542
2003,DNK,math_score,no,mean,490.576669379839
2003,DNK,math_score,no,mean_se,8.78531664824799
2003,DNK,math_score,yes,mean,535.773664240329
2003,DNK,math_score,yes,mean_se,7.28338771056347
2003,DNK,reading_score,no,mean,469.717851518903
2003,DNK,reading_score,no,mean_se,3.43342887943251
2003,DNK,reading_score,yes,mean,513.892992917076
2003,DNK,reading_score,yes,mean_se,2.82733556362584
2003,ESP,math_score,no,mean,471.140325527669
2003,ESP,math_score,no,mean_se,6.15464893748717
2003,ESP,math_score,yes,mean,503.83696974039
2003,ESP,math_score,yes,mean_se,7.50356357883391
2003,ESP,reading_score,no,mean,468.61949691281
2003,ESP,reading_score,no,mean_se,2.70570386186281
2003,ESP,reading_score,yes,mean,497.650640353347
2003,ESP,reading_score,yes,mean_se,3.16452654273541
2003,FIN,math_score,no,mean,528.500837829769
2003,FIN,math_score,no,mean_se,5.52918651879352
2003,FIN,math_score,yes,mean,554.741810987617
2003,FIN,math_score,yes,mean_se,4.20594257576226
2003,FIN,reading_score,no,mean,523.764261964806
2003,FIN,reading_score,no,mean_se,2.23358456753086
2003,FIN,reading_score,yes,mean,554.903615089615
2003,FIN,reading_score,yes,mean_se,1.85775113249153
2003,FRA,math_score,no,mean,500.992193521795
2003,FRA,math_score,no,mean_se,7.5249695961159
2003,FRA,math_score,yes,mean,533.589538963776
2003,FRA,math_score,yes,mean_se,10.3911592922564
2003,FRA,reading_score,no,mean,484.418792488677
2003,FRA,reading_score,no,mean_se,3.06630284550012
2003,FRA,reading_score,yes,mean,523.443086393367
2003,FRA,reading_score,yes,mean_se,3.6856815349879
2003,GBR,math_score,no,mean,490.235108045318
2003,GBR,math_score,no,mean_se,5.64267669245907
2003,GBR,math_score,yes,mean,524.898476969799
2003,GBR,math_score,yes,mean_se,12.2238407140989
2003,GBR,reading_score,no,mean,486.955517283389
2003,GBR,reading_score,no,mean_se,2.51078330549612
2003,GBR,reading_score,yes,mean,526.684678049309
2003,GBR,reading_score,yes,mean_se,3.39954200673845
2003,GRC,math_score,no,mean,427.160495259545
2003,GRC,math_score,no,mean_se,12.1679463344315
2003,GRC,math_score,yes,mean,460.981529623283
2003,GRC,math_score,yes,mean_se,19.8048604544388
2003,GRC,reading_score,no,mean,455.144246579025
2003,GRC,reading_score,no,mean_se,4.12256405291345
2003,GRC,reading_score,yes,mean,488.546573402209
2003,GRC,reading_score,yes,mean_se,4.56414367331067
2003,HUN,math_score,no,mean,477.006118408142
2003,HUN,math_score,no,mean_se,9.53237872456029
2003,HUN,math_score,yes,mean,511.703579854673
2003,HUN,math_score,yes,mean_se,11.3630111166704
2003,HUN,reading_score,no,mean,466.444088456648
2003,HUN,reading_score,no,mean_se,2.70349576121444
2003,HUN,reading_score,yes,mean,505.557906611858
2003,HUN,reading_score,yes,mean_se,3.2286384845697
2003,IRL,math_score,no,mean,492.651226626782
2003,IRL,math_score,no,mean_se,6.86250581201842
2003,IRL,math_score,yes,mean,514.68016505621
2003,IRL,math_score,yes,mean_se,8.33756287681341
2003,IRL,reading_score,no,mean,502.146095518928
2003,IRL,reading_score,no,mean_se,2.72974861593273
2003,IRL,reading_score,yes,mean,531.239705419232
2003,IRL,reading_score,yes,mean_se,3.45881066043752
2003,ITA,math_score,no,mean,450.189848921513
2003,ITA,math_score,no,mean_se,11.8275371857112
2003,ITA,math_score,yes,mean,483.828716021975
2003,ITA,math_score,yes,mean_se,9.28591162448711
2003,ITA,reading_score,no,mean,456.829722935328
2003,ITA,reading_score,no,mean_se,3.80611628063609
2003,ITA,reading_score,yes,mean,495.103902956269
2003,ITA,reading_score,yes,mean_se,2.71526455406114
2003,LUX,math_score,no,mean,474.001974490884
2003,LUX,math_score,no,mean_se,4.0615761690282
2003,LUX,math_score,yes,mean,507.728280683058
2003,LUX,math_score,yes,mean_se,2.69992935914754
2003,LUX,reading_score,no,mean,457.229811882835
2003,LUX,reading_score,no,mean_se,2.76181018169769
2003,LUX,reading_score,yes,mean,496.658501296695
2003,LUX,reading_score,yes,mean_se,1.82531035997265
2003,LVA,math_score,no,mean,475.2799295725
2003,LVA,math_score,no,mean_se,16.6334819361083
2003,LVA,math_score,yes,mean,492.485499151059
2003,LVA,math_score,yes,mean_se,13.3664682547826
2003,LVA,reading_score,no,mean,480.975121338497
2003,LVA,reading_score,no,mean_se,4.35322115824379
2003,LVA,reading_score,yes,mean,501.277759917905
2003,LVA,reading_score,yes,mean_se,3.67039231421517
2003,NLD,math_score,no,mean,524.239130427131
2003,NLD,math_score,no,mean_se,15.1463703117614
2003,NLD,math_score,yes,mean,559.518900492287
2003,NLD,math_score,yes,mean_se,8.06014545478645
2003,NLD,reading_score,no,mean,500.949894894728
2003,NLD,reading_score,no,mean_se,3.85667264933485
2003,NLD,reading_score,yes,mean,531.714849988319
2003,NLD,reading_score,yes,mean_se,2.76415344578521
2003,POL,math_score,no,mean,485.209006000028
2003,POL,math_score,no,mean_se,8.24031471541583
2003,POL,math_score,yes,mean,498.137537805911
2003,POL,math_score,yes,mean_se,10.353754579299
2003,POL,reading_score,no,mean,487.678408965801
2003,POL,reading_score,no,mean_se,3.25528041553148
2003,POL,reading_score,yes,mean,510.243748489839
2003,POL,reading_score,yes,mean_se,3.5562705922388
2003,PRT,math_score,no,mean,452.430565506482
2003,PRT,math_score,no,mean_se,13.3311937352486
2003,PRT,math_score,yes,mean,496.132836434916
2003,PRT,math_score,yes,mean_se,12.1867919469539
2003,PRT,reading_score,no,mean,465.704622611402
2003,PRT,reading_score,no,mean_se,4.02881870792393
2003,PRT,reading_score,yes,mean,504.863496318561
2003,PRT,reading_score,yes,mean_se,3.75771587241463
2003,SVK,math_score,no,mean,484.700228320835
2003,SVK,math_score,no,mean_se,17.4461417959903
2003,SVK,math_score,yes,mean,510.009462386094
2003,SVK,math_score,yes,mean_se,9.32176576738896
2003,SVK,reading_score,no,mean,451.003159747624
2003,SVK,reading_score,no,mean_se,4.01274634675261
2003,SVK,reading_score,yes,mean,485.114919759304
2003,SVK,reading_score,yes,mean_se,2.84399526800931
2003,SWE,math_score,no,mean,476.779114905724
2003,SWE,math_score,no,mean_se,12.8140689744899
2003,SWE,math_score,yes,mean,524.463928337644
2003,SWE,math_score,yes,mean_se,6.74102503154444
2003,SWE,reading_score,no,mean,481.161308067482
2003,SWE,reading_score,no,mean_se,3.82589731550031
2003,SWE,reading_score,yes,mean,530.591643053393
2003,SWE,reading_score,yes,mean_se,2.48701762988887
2003,EU28,math_score,no,mean,487.152620390037
2003,EU28,math_score,no,mean_se,1.34030107695145
2003,EU28,math_score,yes,mean,517.376413910495
2003,EU28,math_score,yes,mean_se,1.2989082698076
2003,EU28,reading_score,no,mean,480.155272121043
2003,EU28,reading_score,no,mean_se,1.21577719907093
2003,EU28,reading_score,yes,mean,515.004516329725
2003,EU28,reading_score,yes,mean_se,1.15786419334409
2006,AUT,math_score,no,mean,490.573430539307
2006,AUT,math_score,no,mean_se,29.7810820812919
2006,AUT,math_score,yes,mean,512.764135372993
2006,AUT,math_score,yes,mean_se,11.3144497008422
2006,AUT,reading_score,no,mean,465.326855286429
2006,AUT,reading_score,no,mean_se,5.72252906433877
2006,AUT,reading_score,yes,mean,503.295483027183
2006,AUT,reading_score,yes,mean_se,3.88004081055568
2006,BEL,math_score,no,mean,498.070083367117
2006,BEL,math_score,no,mean_se,9.33445326446935
2006,BEL,math_score,yes,mean,542.258925291705
2006,BEL,math_score,yes,mean_se,7.76077674280756
2006,BEL,reading_score,no,mean,476.55536260462
2006,BEL,reading_score,no,mean_se,3.87666348638721
2006,BEL,reading_score,yes,mean,525.097431953296
2006,BEL,reading_score,yes,mean_se,2.78227296844792
2006,BGR,math_score,no,mean,395.801369371745
2006,BGR,math_score,no,mean_se,37.334151859867
2006,BGR,math_score,yes,mean,429.145089166978
2006,BGR,math_score,yes,mean_se,38.2426531395975
2006,BGR,reading_score,no,mean,377.292402770126
2006,BGR,reading_score,no,mean_se,7.10050293321847
2006,BGR,reading_score,yes,mean,423.403501316676
2006,BGR,reading_score,yes,mean_se,6.47238567570782
2006,CZE,math_score,no,mean,497.556840338129
2006,CZE,math_score,no,mean_se,17.1422346074251
2006,CZE,math_score,yes,mean,525.038748105839
2006,CZE,math_score,yes,mean_se,13.4487201285339
2006,CZE,reading_score,no,mean,467.721004787151
2006,CZE,reading_score,no,mean_se,4.95368865301143
2006,CZE,reading_score,yes,mean,500.855978259262
2006,CZE,reading_score,yes,mean_se,4.15957097828896
2006,DEU,math_score,no,mean,492.075963687419
2006,DEU,math_score,no,mean_se,15.2158738685612
2006,DEU,math_score,yes,mean,516.166360402191
2006,DEU,math_score,yes,mean_se,14.4136862736365
2006,DEU,reading_score,no,mean,475.003444316842
2006,DEU,reading_score,no,mean_se,5.2803354812746
2006,DEU,reading_score,yes,mean,511.47243902412
2006,DEU,reading_score,yes,mean_se,4.20265202207503
2006,DNK,math_score,no,mean,492.137907379951
2006,DNK,math_score,no,mean_se,12.2710133023697
2006,DNK,math_score,yes,mean,523.79067537615
2006,DNK,math_score,yes,mean_se,6.40893544758632
2006,DNK,reading_score,no,mean,467.727454126566
2006,DNK,reading_score,no,mean_se,4.44025045057943
2006,DNK,reading_score,yes,mean,506.186887652799
2006,DNK,reading_score,yes,mean_se,3.04713508332122
2006,ESP,math_score,no,mean,468.407036602584
2006,ESP,math_score,no,mean_se,4.73299554790877
2006,ESP,math_score,yes,mean,494.543868035615
2006,ESP,math_score,yes,mean_se,6.84581231413661
2006,ESP,reading_score,no,mean,449.583613153559
2006,ESP,reading_score,no,mean_se,2.31204402778682
2006,ESP,reading_score,yes,mean,474.1749358705
2006,ESP,reading_score,yes,mean_se,2.56980572451504
2006,EST,math_score,no,mean,509.261924674247
2006,EST,math_score,no,mean_se,9.58678963355249
2006,EST,math_score,yes,mean,518.074082367121
2006,EST,math_score,yes,mean_se,8.58514697139035
2006,EST,reading_score,no,mean,495.216526693942
2006,EST,reading_score,no,mean_se,3.612787860583
2006,EST,reading_score,yes,mean,505.434294312292
2006,EST,reading_score,yes,mean_se,3.05007626983915
2006,FIN,math_score,no,mean,531.792623802328
2006,FIN,math_score,no,mean_se,10.0098896673893
2006,FIN,math_score,yes,mean,552.426077596287
2006,FIN,math_score,yes,mean_se,5.39155049759937
2006,FIN,reading_score,no,mean,520.74281427737
2006,FIN,reading_score,no,mean_se,3.233400216734
2006,FIN,reading_score,yes,mean,555.349403838076
2006,FIN,reading_score,yes,mean_se,2.29212511074417
2006,FRA,math_score,no,mean,481.324671006451
2006,FRA,math_score,no,mean_se,10.1499627464967
2006,FRA,math_score,yes,mean,519.990518017544
2006,FRA,math_score,yes,mean_se,13.9579535312227
2006,FRA,reading_score,no,mean,470.855620908085
